Date,Topic,Link
२०७९ श्रावण ४,बैदेशिक अध्ययन /तालिम छात्रवृत्तिमा मनोनयन गर्ने सम्बन्धमा।,https://moest.gov.np/upload_file/files/post/1658308468_451868568_notiCe1.jpeg
२०७९ श्रावण ३,PTAP कार्यक्रम अन्तरगतको BSc. Engineering विषयको छात्रबृत्तिमा पाकिस्तानमा अध्ययन गर्न इच्छुकले दरखास्त दिनेसम्बन्धी जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1658248757_1482507777_PTAP-%20BSC%20Engineering%20Notice.pdf
२०७९ श्रावण २,वैदेशिक अध्ययन/छात्रवृत्तिमा आवेदन सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1658303787_559816348_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A4%BF%E0%A4%AE%E0%A4%BE%20%E0%A4%86%E0%A4%AC%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%BF%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE%20(1).pdf
२०७९ असार २७,M.Sc. in Natural Resources Management and Rural Development विषयको छात्रवृत्तिमा मनोनयन सम्बन्धी अत्यन्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1657534018_818086037_notice%20of%20%20forestry%202079.docx
२०७९ असार २३,M.Sc. in Natural Resources Management and Rural Development विषयको छात्रवृत्तिको योग्यताक्रम सूची तथा पूर्वमनोनयन सम्बन्धी अत्यन्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1657182365_2131764442_Title%20No%202.pdf
२०७९ असार २३,छात्रवृत्तिका लागि सिट रिक्त रहेकाले आवेदन पठाउने सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1657182339_356991762_Title%20No%201.pdf
२०७९ असार २१,वैदेशिक अध्ययन/छात्रवृत्तिमा आवेदन सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1658304165_753032720_nOTice%20(3).pdf
२०७९ असार १९,M.Sc. in Natural Resources Management and Rural Development विषयको छात्रवृत्तिमा मनोनयनका लागि दरखास्त माग सम्बन्धी अत्यन्त्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1656843584_1367062561_notice%20of%20%20forestry%202079%20-%20Copy.pdf
२०७९ असार १७,त्रिभुवन विश्वविद्यालय अन्तर्गतका केही कलेजहरूमा वि‍एस्सी (B.SC. Agriculture) विषयमा नि:शुल्क छात्रवृत्तिमा मनोनयनका लागि दरखास्त दिएका उम्मेदवारहरूको मनोनयन सूची प्रकाशन गरिएको सम्बन्धी अत्यन्त्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1656650257_947553059_1656570759_1769514003_notice%20of%20%20BSc%20Agriculture%202079.pdf
२०७९ असार ११,त्रिभुवन विश्वविद्यालयबाट सम्बन्धन प्राप्त केही कलेजहरूमा BSc Agriculture विषयको निशुल्क छात्रवृत्तिमा अध्ययन गर्न आवेदन दिएका उम्मेदवारहरुको योग्यताक्रमसूची प्रकाशित भएको सूचना,https://moest.gov.np/upload_file/files/post/1656325276_1905574568_update.pdf
२०७९ असार ११,कृषि तथा वनविज्ञान विश्वविद्यालय रामपुर अन्तर्गतका कलेजहरूमा वि‍एस्सी विषयमा नि:शुल्क छात्रवृत्तिमा मनोनयनका लागि दरखास्त दिएका उम्मेदवारहरूको संशोधित तथा अद्यावधिक मनोनयनसूची प्रकाशन गरिएको छ,https://moest.gov.np/upload_file/files/post/1656167016_1170363066_Revised_notice_of_BSc_Agriculture_20791.pdf
२०७९ असार ११,कृषि तथा वनविज्ञान विश्वविद्यालय रामपुर अन्तर्गतका कलेजहरूमा वि‍एस्सी (B.SC. Agriculture) विषयमा नि:शुल्क छात्रवृत्तिमा मनोनयनका लागि दरखास्त दिएका उम्मेदवारहरूको मनोनयनसूची प्रकाशन गरिएको सम्बन्धी अत्यन्त्त जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1656166731_1999703642_N0_1-AFU_Result.pdf
